file_name,x,y,height,width
./raw_data/defects3/train/class_2/0.jpg,483.0,159.0,64.0,118.0
./raw_data/defects3/train/class_2/1.jpg,40.0,192.0,60.0,56.0
./raw_data/defects3/train/class_2/2.jpg,417.5,525.5,109.0,65.0
./raw_data/defects3/train/class_2/3.jpg,214.5,134.5,197.0,111.0
./raw_data/defects3/train/class_2/4.jpg,452.5,394.5,113.0,61.0
./raw_data/defects3/train/class_2/5.jpg,499.5,56.5,67.0,43.0
./raw_data/defects3/train/class_0/6.jpg,248.0,338.5,39.0,124.0
./raw_data/defects3/train/class_2/7.jpg,311.0,218.5,85.0,68.0
./raw_data/defects3/train/class_2/8.jpg,321.5,60.5,91.0,71.0
./raw_data/defects3/train/class_2/9.jpg,302.0,310.5,55.0,42.0
./raw_data/defects3/train/class_2/10.jpg,270.5,76.0,62.0,55.0
./raw_data/defects3/train/class_0/11.jpg,568.5,325.5,615.0,63.0
./raw_data/defects3/train/class_1/12.jpg,504.0,437.5,51.0,134.0
./raw_data/defects3/train/class_2/13.jpg,222.5,370.5,59.0,43.0
./raw_data/defects3/train/class_2/14.jpg,28.0,351.0,62.0,42.0
./raw_data/defects3/train/class_2/15.jpg,60.0,102.0,64.0,60.0
./raw_data/defects3/train/class_2/16.jpg,467.5,569.5,51.0,61.0
./raw_data/defects3/train/class_1/17.jpg,50.5,495.0,46.0,101.0
./raw_data/defects3/train/class_1/18.jpg,40.5,173.0,132.0,59.0
./raw_data/defects3/train/class_0/19.jpg,343.5,544.0,130.0,37.0
./raw_data/defects3/train/class_1/20.jpg,354.5,216.0,28.0,61.0
./raw_data/defects3/train/class_2/21.jpg,534.5,627.0,26.0,49.0
./raw_data/defects3/train/class_2/22.jpg,545.5,532.5,31.0,47.0
./raw_data/defects3/train/class_2/23.jpg,184.5,191.5,29.0,49.0
./raw_data/defects3/train/class_1/24.jpg,590.0,486.5,115.0,46.0
./raw_data/defects3/train/class_0/25.jpg,490.0,216.5,29.0,128.0
./raw_data/defects3/train/class_0/26.jpg,271.5,94.0,20.0,103.0
./raw_data/defects3/train/class_2/27.jpg,26.5,522.5,39.0,53.0
./raw_data/defects3/train/class_0/28.jpg,9.0,313.0,82.0,18.0
./raw_data/defects3/train/class_0/29.jpg,190.0,147.0,138.0,26.0
./raw_data/defects3/train/class_0/30.jpg,109.0,200.5,231.0,16.0
./raw_data/defects3/train/class_2/31.jpg,413.0,525.0,228.0,178.0
./raw_data/defects3/train/class_1/32.jpg,461.5,260.5,167.0,67.0
./raw_data/defects3/train/class_1/33.jpg,419.0,439.0,166.0,70.0
./raw_data/defects3/train/class_2/34.jpg,527.0,418.5,93.0,56.0
./raw_data/defects3/train/class_2/35.jpg,379.5,78.5,71.0,51.0
./raw_data/defects3/train/class_2/36.jpg,320.5,78.0,62.0,55.0
./raw_data/defects3/train/class_2/37.jpg,248.5,393.5,77.0,95.0
./raw_data/defects3/train/class_1/38.jpg,67.5,346.0,34.0,77.0
./raw_data/defects3/train/class_2/39.jpg,242.5,576.5,101.0,155.0
./raw_data/defects3/train/class_2/40.jpg,333.5,274.0,104.0,137.0
./raw_data/defects3/train/class_2/41.jpg,340.0,63.0,72.0,66.0
./raw_data/defects3/train/class_2/42.jpg,301.0,361.0,70.0,50.0
./raw_data/defects3/train/class_1/43.jpg,449.5,468.0,44.0,105.0
./raw_data/defects3/train/class_2/44.jpg,334.0,38.0,76.0,66.0
./raw_data/defects3/train/class_1/45.jpg,373.5,400.5,67.0,137.0
./raw_data/defects3/train/class_2/46.jpg,400.5,418.5,95.0,61.0
